sifra,Municipality,Municipality2,District,Ballots,Empty.Ballots,Other.Invalid.Ballots,Numvoters,p00090,p00008,p02321,p00001,p02328,p00004,p01698,p01182,p02385,p00877,p02402,p02373,p00036,p00513,p02399,p01276,p02401,p02325,p02323,p01728,p02368,p00521,p01718,p01178,p01705,pNA,p02403,p02317,p02382,p02391,p02395,p02314,p01699,p01701,p00028,p02375,p00502,p00769,p02383,p02311,p00017,p01200,p02384,p01703,p02322,p00734,p01714,p02353,p02358,p02388,p01270,p02389,p02398,p01188,p01290,p02400,p02396,p02355,p02360,p02361,p02072,p02354,p02390,p02392,p02376,p00882,p02387,p01989,p01723,p02347,p02397,p02291,p02359,p01706,p02349,Entity,Election
110,GORNJI VAKUF - USKOPLJE,GORNJI VAKUF - USKOPLJE (110),KANTON 6,9102,290,242,15540,39.97,16.41,0.16,0,0.1,0.52,3.16,3.49,0,0,0.04,0.55,0.16,0.33,0,0.07,0,0.03,0,0.02,0.01,0,0.01,0,0,0,0,0,30.45,0,1.14,3.33,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
174,NEUM,NEUM (174),KANTON 7,1476,36,40,3731,0.2,1.02,0,0,0,0,1.63,0.2,0,0.27,0.14,0,0,0,0,0,0,0.07,0,0.07,0.07,0,0,0,1.49,0,0,0,66.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0.2,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
136,CENTAR SARAJEVO,CENTAR SARAJEVO (136),KANTON 9,30961,627,1018,59547,15.43,11.8,0,1.4,4.84,0.93,5.37,9.89,0,21.29,0,0,2.21,1.09,0,0,0,0,0.34,0.03,0.31,0,0.03,0,0,0,0,15.86,1.14,0,0,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0.9,1.09,0.92,0.25,0.05,0.22,0.22,0.17,0.02,0.03,Fed,Kantons
032,SANSKI MOST,SANSKI MOST (032),KANTON 1,9604,400,530,34131,35.68,17.33,0,0,0,0,7.94,14.71,0,5.04,0,0,0,0.52,0,0.11,0,0.14,0,0.02,1.22,0,0.04,0,0.01,0,0,2.07,0,0,0,9.31,0,0.17,0.25,4.68,0.4,0.06,0.17,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
052,ČELIĆ,ÄŒELIÄ† (052),KANTON 3,4842,183,253,9742,45.81,4.13,7.13,0.7,0.27,20.05,6.69,2.23,9.46,0.56,0.06,1.24,0.48,0.58,0.37,0.06,0,0.04,0.06,0.02,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
094,KAKANJ,KAKANJ (094),KANTON 4,17692,790,896,33857,31.57,11.17,3.63,1.9,5.37,8.41,8.31,12.49,0,4.34,0.14,2.09,0.4,1.85,0,0.2,0,0.11,0,0.06,0.06,0,0.02,0,0,0,3.76,0.2,3.53,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
111,NOVI TRAVNIK,NOVI TRAVNIK (111),KANTON 6,10505,334,485,20326,26.54,14.37,0.5,0,0.09,3.62,4.57,5.33,0,0,0.15,0.5,0.18,0.78,0,0.11,0,0.08,0,0.02,0.14,0,0,0,0,0,0,0,33.2,0,5.91,3.89,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
176,STOLAC,STOLAC (176),KANTON 7,6700,193,166,9702,23.15,9.55,0,0.61,0.06,0.4,1.27,6.09,0,0.64,0,0,0.07,0,0,0.07,0,0.01,0,0,0.82,0,0.01,0,0.49,0,0,0.15,52.87,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0.18,0,0.15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
137,STARI GRAD SARAJEVO,STARI GRAD SARAJEVO (137),KANTON 9,20014,433,902,36865,16.22,9.3,0,1.68,19.25,0.71,5.25,8.41,0,11.96,0,0,3.49,0.63,0,0,0,0,0.23,0.03,0.06,0,0.03,0,0,0,0,12.95,0.39,0,0,1.12,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,1.12,2.77,0.97,0.26,0.07,0.04,0.3,0.13,0.03,0.03,Fed,Kantons
059,KLJUČ,KLJUÄŒ (059),KANTON 1,4762,256,274,15964,39.71,31.9,0,0,0,0,6.89,7.64,0,1.22,0,0,0,0.63,0,0.08,0,0.13,0,0.06,0.04,0,0.06,0,0.06,0,0,0.5,0,0,0,1.36,0,0.17,0.25,8.74,0.44,0.02,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
055,TEOČAK,TEOÄŒAK (055),KANTON 3,2924,65,83,6648,62.21,5.64,21.89,0.41,0.07,1.68,1.92,1.68,0.07,0.48,0.14,1.2,0.44,0.82,1.13,0.07,0,0.1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
095,VAREŠ,VAREÅ  (095),KANTON 4,3814,210,276,8518,20.32,9.2,0.29,1.15,0.79,0.73,7.03,24.15,0,5.37,0.26,3.07,0.29,2.52,0,0.16,0,0.05,0,0.13,0.26,0,0.03,0,0,0,4.98,0.5,17.36,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
112,VITEZ,VITEZ (112),KANTON 6,11037,365,742,22328,26.74,7.58,0.22,0,0.1,1.07,5.36,5.74,0,0,0.23,0.92,0.23,0.51,0,0.08,0,0.13,0,0.05,0.11,0,0.03,0,0,0,0,0,42.79,0,6.21,1.88,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
181,RAVNO,RAVNO (181),KANTON 7,893,4,11,1317,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0.78,0,0,0,76.48,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
139,NOVO SARAJEVO,NOVO SARAJEVO (139),KANTON 9,34877,710,1370,67727,16.01,11.41,0,1.8,4.32,0.93,6.79,9.85,0,20.95,0,0,2.89,0.78,0,0,0,0,0.34,0.07,0.39,0,0.05,0,0,0,0,13.29,1.89,0,0,1.57,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0.85,0.76,1.67,0.38,0.09,0.14,0.24,0.05,0.03,0.04,Fed,Kantons
078,BANOVIĆI,BANOVIÄ†I (078),KANTON 3,15166,368,434,20625,21.21,11.64,57.02,0.37,0.34,0.42,3.6,2.56,0.15,0.76,0.09,0.55,0.23,0.57,0.28,0.07,0.02,0.04,0.06,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
096,OLOVO,OLOVO (096),KANTON 4,4764,302,253,8827,47.69,15.87,0.78,0.97,0.63,1.39,13.08,7.33,0,0.78,0.02,7.77,0.19,1.09,0,0.06,0,0.1,0,0.08,0.15,0,0,0,0,0,1.07,0.23,0.69,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
113,BUSOVAČA,BUSOVAÄŒA (113),KANTON 6,7330,446,383,13394,27.39,11.26,0.35,0,0.08,0.42,9.59,2.95,0,0,0.14,2.25,0.2,0.71,0,0.08,0,0.14,0,0.07,0.05,0,0.01,0,0,0,0,0,38.19,0,3.57,2.52,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
199,GRAD MOSTAR,GRAD MOSTAR (199),KANTON 7,47863,1261,1839,98832,24.01,7.47,0,1.01,0.04,1.39,6.17,6.42,0,2.82,0.07,0,0.14,0,0,0.13,0,0.04,0,0.05,1.96,0,0.01,0,4.94,0,0,0.47,35.9,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0.11,0.05,0.03,0.76,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
141,TRNOVO (FBIH),TRNOVO (FBIH) (141),KANTON 9,1695,45,45,2298,62.24,4.66,0,0.77,1.36,0.18,1.65,4.07,0,1.3,0,0,1.18,0.12,0,0,0,0,0.18,0,0.12,0,0,0,0,0,0,19,0.06,0,0,1.24,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,1,0.29,0,0.18,0,0,0,0,0,0,Fed,Kantons
