sifra,Municipality,Municipality2,District,Ballots,Empty.Ballots,Other.Invalid.Ballots,Numvoters,p00090,p00008,p02321,p00001,p02328,p00004,p01698,p01182,p02385,p00877,p02402,p02373,p00036,p00513,p02399,p01276,p02401,p02325,p02323,p01728,p02368,p00521,p01718,p01178,p01705,pNA,p02403,p02317,p02382,p02391,p02395,p02314,p01699,p01701,p00028,p02375,p00502,p00769,p02383,p02311,p00017,p01200,p02384,p01703,p02322,p00734,p01714,p02353,p02358,p02388,p01270,p02389,p02398,p01188,p01290,p02400,p02396,p02355,p02360,p02361,p02072,p02354,p02390,p02392,p02376,p00882,p02387,p01989,p01723,p02347,p02397,p02291,p02359,p01706,p02349,Entity,Election
118,ILIJAŠ,ILIJAÅ  (118),KANTON 9,10266,281,501,20684,46.65,10,0,4.47,1.36,0.51,5.76,7.48,0,3.21,0,0,2.07,0.41,0,0,0,0,0.33,0.05,0.16,0,0.03,0,0,0,0,9.53,0.65,0,0,1.32,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,1.2,1.75,0.56,0.2,0.06,0.05,0.05,0.05,0.02,0.01,Fed,Kantons
002,CAZIN,CAZIN (002),KANTON 1,22173,490,973,52951,30.26,5.35,0,0,0,0,8.19,1.31,0,1.72,0,0,0,0.21,0,0.07,0,0.05,0,0.04,0,0,0,0,0,0,0,0.5,0,0,0,2.37,0,2.66,0.55,46.49,0.15,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
084,BOSANSKO GRAHOVO,BOSANSKO GRAHOVO (084),KANTON 10,874,16,47,2580,0,4,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0.8,0,0.23,0.11,47.71,15.9,0.23,0.92,0,0,0,0,0.23,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
020,DOMALJEVAC - ŠAMAC,DOMALJEVAC - Å AMAC (020),KANTON 2,1126,61,93,3178,0,0.09,0.44,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,49.64,30.99,17.76,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
036,DOBOJ - ISTOK,DOBOJ - ISTOK (036),KANTON 3,5517,204,206,9768,35.13,32.81,14.9,2.05,0.42,3.05,4.02,2.86,0.02,1.27,0.27,1.5,0.56,0.22,0.62,0.09,0,0.07,0.07,0.05,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
039,TEŠANJ,TEÅ ANJ (039),KANTON 4,18465,592,966,39489,30.7,29.41,0.68,2.08,0.45,8.82,7.39,4.71,0,0.99,0.28,5.96,0.31,3.12,0,0.1,0,0.12,0,0.06,0.01,0,0.2,0,0,0,2.82,0.26,1.35,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
165,FOČA (FBIH),FOÄŒA (FBIH) (165),KANTON 5,1076,15,33,1571,26.12,3.16,0,1.21,14.03,1.67,5.3,14.96,0,1.39,0,0.56,0,0,13.1,0,0,0.09,0,5.39,1.58,0,0.09,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
067,DOBRETIĆI,DOBRETIÄ†I (067),KANTON 6,487,9,12,1502,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.73,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
126,JABLANICA,JABLANICA (126),KANTON 7,5522,198,193,8875,40,28.99,0,1.47,0.02,2.5,6.16,12.93,0,0.92,0.07,0,0.29,0,0,0.18,0,0.07,0,0.05,0.11,0,0.02,0,0.18,0,0,0.29,3.26,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.07,0.04,0,0.33,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
149,GRUDE,GRUDE (149),KANTON 8,6343,105,179,13055,0,0.98,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.03,0,0.06,0,0.02,0,0,0,0,9.74,0,0,0,0,0,0,0.02,0.02,0,0.08,0,1.43,0,0,0,2.76,0,0,0,0,1.23,0,0,0,0,0.16,0,0,0,2.29,0,0,0,0,0,0,0,72.41,5.47,3.25,0.02,0,0,0,0,0,0,0,0,0,Fed,Kantons
130,HADŽIĆI,HADÅ½IÄ†I (130),KANTON 9,12204,566,573,22199,34.46,10,0,4.94,1.43,5.61,5.38,7.82,0,3.64,0,0,3.36,0.37,0,0,0,0,0.34,0.02,0.04,0,0.04,0,0,0,0,12.3,0.28,0,0,4.43,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,1.6,0.35,0.65,0.17,0.05,0.02,0.11,0.08,0,0.02,Fed,Kantons
